descriptor,sequence,geom_noise,ima,imb,ap,auc,sr
DOAP-HP-ST-LM-a,i_bologna,hard,0,5,0.785798287079466,0.785665267018626,0.828985507246377
DOAP-HP-ST-LM-a,i_lionnight,hard,0,1,0.75332650206107,0.753098022866585,0.83651804670913
DOAP-HP-ST-LM-a,i_lionnight,hard,0,2,0.546775101611833,0.546354505403638,0.670912951167728
DOAP-HP-ST-LM-a,i_lionnight,hard,0,3,0.805151153767004,0.8049871588158,0.872611464968153
DOAP-HP-ST-LM-a,i_lionnight,hard,0,4,0.830086041551171,0.829889477607749,0.89171974522293
DOAP-HP-ST-LM-a,i_lionnight,hard,0,5,0.769752048612562,0.769545715993479,0.853503184713376
DOAP-HP-ST-LM-a,i_porta,hard,0,1,0.697837818014431,0.697611746190621,0.787286063569682
DOAP-HP-ST-LM-a,i_porta,hard,0,2,0.708055899067799,0.707745836343516,0.806845965770171
DOAP-HP-ST-LM-a,i_porta,hard,0,3,0.476436163725868,0.475546139220764,0.633251833740831
DOAP-HP-ST-LM-a,i_porta,hard,0,4,0.452659818379793,0.451697286087245,0.584352078239609
DOAP-HP-ST-LM-a,i_porta,hard,0,5,0.259189759110144,0.258401810191417,0.415647921760391
DOAP-HP-ST-LM-a,i_zion,hard,0,1,0.867962259363471,0.867950374406642,0.882
DOAP-HP-ST-LM-a,i_zion,hard,0,2,0.541036868922532,0.541000163910665,0.5875
DOAP-HP-ST-LM-a,i_zion,hard,0,3,0.386234189649229,0.386192018059195,0.451
DOAP-HP-ST-LM-a,i_zion,hard,0,4,0.228733522751281,0.228660923456161,0.31
DOAP-HP-ST-LM-a,i_zion,hard,0,5,0.29524476253233,0.295174615077932,0.366
DOAP-HP-ST-LM-a,i_brooklyn,hard,0,1,0.698420303254309,0.698357036454966,0.755755755755756
DOAP-HP-ST-LM-a,i_brooklyn,hard,0,2,0.650120626411625,0.650053042139378,0.735735735735736
DOAP-HP-ST-LM-a,i_brooklyn,hard,0,3,0.442909486376737,0.442825394235495,0.534534534534535
DOAP-HP-ST-LM-a,i_brooklyn,hard,0,4,0.58987385140829,0.589812792686551,0.68018018018018
DOAP-HP-ST-LM-a,i_brooklyn,hard,0,5,0.399829814658424,0.39954355532323,0.527527527527528
DOAP-HP-ST-LM-a,i_fruits,hard,0,1,0.918476702896581,0.918446894288293,0.940251572327044
DOAP-HP-ST-LM-a,i_fruits,hard,0,2,0.8744813394088,0.874422440188333,0.910377358490566
DOAP-HP-ST-LM-a,i_fruits,hard,0,3,0.871835427352376,0.871759211943406,0.908805031446541
DOAP-HP-ST-LM-a,i_fruits,hard,0,4,0.854532983222034,0.85445228146097,0.891509433962264
DOAP-HP-ST-LM-a,i_fruits,hard,0,5,0.886972386914434,0.886825364599955,0.922955974842767
DOAP-HP-ST-LM-a,i_books,hard,0,1,0.672298162835244,0.671747826040995,0.793248945147679
DOAP-HP-ST-LM-a,i_books,hard,0,2,0.753095936622951,0.753008966040026,0.80379746835443
DOAP-HP-ST-LM-a,i_books,hard,0,3,0.764427128201874,0.764302535805786,0.820675105485232
DOAP-HP-ST-LM-a,i_books,hard,0,4,0.767881426127873,0.767765310973842,0.824894514767933
DOAP-HP-ST-LM-a,i_books,hard,0,5,0.73251138731546,0.732344451668711,0.795358649789029
DOAP-HP-ST-LM-a,i_bridger,hard,0,1,0.728461598478261,0.728181234509845,0.767019667170953
DOAP-HP-ST-LM-a,i_bridger,hard,0,2,0.595000812722519,0.594963980433201,0.64750378214826
DOAP-HP-ST-LM-a,i_bridger,hard,0,3,0.639151517976135,0.639087326974253,0.690872415532022
DOAP-HP-ST-LM-a,i_bridger,hard,0,4,0.376963508099208,0.376899330240756,0.456883509833585
DOAP-HP-ST-LM-a,i_bridger,hard,0,5,0.0454432209565517,0.0452866020875582,0.0998487140695915
DOAP-HP-ST-LM-a,i_whitebuilding,hard,0,1,0.814280173893824,0.814130599335711,0.898974358974359
DOAP-HP-ST-LM-a,i_whitebuilding,hard,0,2,0.748668415307465,0.748490237620245,0.867692307692308
DOAP-HP-ST-LM-a,i_whitebuilding,hard,0,3,0.621008462572865,0.620872804535698,0.759487179487179
